date,revenue,expenses,profit,employee_count,category,client_type
2023-01-01,10000,5000,5000,10,A,Enterprise
2023-02-01,15000,6000,9000,12,B,SMB
2023-03-01,13000,5500,7500,11,A,SMB
2023-04-01,20000,7000,13000,15,C,Enterprise
2023-05-01,25000,8000,17000,18,A,Enterprise
2023-06-01,22000,7500,14500,16,B,SMB
2023-07-01,30000,9000,21000,20,C,Enterprise
2023-08-01,28000,8500,19500,19,A,SMB
2023-09-01,35000,10000,25000,25,B,Enterprise
2023-10-01,32000,9500,22500,22,C,SMB
2023-11-01,40000,12000,28000,30,A,Enterprise
2023-12-01,38000,11000,27000,28,B,SMB
